Date,Season,Competition,Stage,Home Team,Away Team,Home Goals,Away Goals,Neutral,Match Result,Home Team Country,Away Team Country,Home Team Region,Away Team Region,Cross Region Match,Venue Altitude (m),Away Team Altitude (m),Altitude Difference (m),Travel Distance (km),Climate Zone
2014-08-10,2014,CAF Champions League,Group Stage,TP Mazembe,Al Hilal,3,1,False,Home Win,DR Congo,Sudan,Central Africa,East Africa,Yes,1250,380,870,3071.6,Tropical
2014-08-10,2014,CAF Champions League,Group Stage,Zamalek,AS Vita Club,0,1,False,Away Win,Egypt,DR Congo,North Africa,Central Africa,Yes,23,320,-297,4183.6,Arid
2014-08-22,2014,CAF Champions League,Group Stage,Al Hilal,Zamalek,2,1,False,Home Win,Sudan,Egypt,East Africa,North Africa,Yes,380,23,357,1624.7,Arid
2014-08-23,2014,CAF Champions League,Group Stage,CS Sfaxien,ES Setif,1,1,False,Draw,Tunisia,Algeria,North Africa,North Africa,No,15,1096,-1081,510.5,Mediterranean
2014-08-24,2014,CAF Champions League,Group Stage,AS Vita Club,TP Mazembe,0,0,False,Draw,DR Congo,DR Congo,Central Africa,Central Africa,No,320,1250,-930,1566.4,Tropical
2014-08-24,2014,CAF Champions League,Group Stage,Esperance de Tunis,Al Ahly Benghazi,1,0,False,Home Win,Tunisia,Libya,North Africa,North Africa,No,10,47,-37,1044.8,Mediterranean
2014-09-20,2014,CAF Champions League,Semi-final,ES Setif,TP Mazembe,2,1,False,Home Win,Algeria,DR Congo,North Africa,Central Africa,Yes,1096,1250,-154,5802.4,Semi-Arid
2014-09-21,2014,CAF Champions League,Semi-final,AS Vita Club,CS Sfaxien,2,1,False,Home Win,DR Congo,Tunisia,Central Africa,North Africa,Yes,320,15,305,4370.8,Tropical
2014-09-27,2014,CAF Champions League,Semi-final,CS Sfaxien,AS Vita Club,1,2,False,Away Win,Tunisia,DR Congo,North Africa,Central Africa,Yes,15,320,-305,4370.8,Mediterranean
2014-09-28,2014,CAF Champions League,Semi-final,TP Mazembe,ES Setif,3,2,False,Home Win,DR Congo,Algeria,Central Africa,North Africa,Yes,1250,1096,154,5802.4,Tropical
2014-10-26,2014,CAF Champions League,Final,AS Vita Club,ES Setif,2,2,False,Draw,DR Congo,Algeria,Central Africa,North Africa,Yes,320,1096,-776,4622.3,Tropical
2014-11-01,2014,CAF Champions League,Final,ES Setif,AS Vita Club,1,1,False,Draw,Algeria,DR Congo,North Africa,Central Africa,Yes,1096,320,776,4622.3,Semi-Arid
2015-01-17,2015,African Cup of Nations,Group Stage,Equatorial Guinea,Congo,1,1,False,Draw,Equatorial Guinea,Congo,Central Africa,Central Africa,No,30,320,-290,,Tropical
2015-01-21,2015,African Cup of Nations,Group Stage,Equatorial Guinea,Burkina Faso,0,0,False,Draw,Equatorial Guinea,Burkina Faso,Central Africa,West Africa,Yes,30,310,-280,,Tropical
2015-01-25,2015,African Cup of Nations,Group Stage,Equatorial Guinea,Gabon,2,0,False,Home Win,Equatorial Guinea,Gabon,Central Africa,Central Africa,No,30,30,0,,Tropical
2015-01-31,2015,African Cup of Nations,Quarter-final,Equatorial Guinea,Tunisia,2,1,False,Home Win,Equatorial Guinea,Tunisia,Central Africa,North Africa,Yes,30,10,20,,Tropical
2015-02-05,2015,African Cup of Nations,Semi-final,Equatorial Guinea,Ghana,0,3,False,Away Win,Equatorial Guinea,Ghana,Central Africa,West Africa,Yes,30,61,-31,,Tropical
2015-02-07,2015,African Cup of Nations,3rd place,Equatorial Guinea,DR Congo,0,0,False,Draw,Equatorial Guinea,DR Congo,Central Africa,Central Africa,No,30,320,-290,,Tropical
2015-06-26,2015,CAF Champions League,Group Stage,Al Merreikh,MC El Eulma,2,0,False,Home Win,Sudan,Algeria,East Africa,North Africa,Yes,380,960,-580,3514.0,Arid
2015-06-27,2015,CAF Champions League,Group Stage,ES Setif,USM Alger,1,2,False,Away Win,Algeria,Algeria,North Africa,North Africa,No,1096,424,672,216.6,Semi-Arid
2015-06-28,2015,CAF Champions League,Group Stage,TP Mazembe,Al Hilal,0,0,False,Draw,DR Congo,Sudan,Central Africa,East Africa,Yes,1250,380,870,3071.6,Tropical
2015-06-28,2015,CAF Champions League,Group Stage,Smouha,MA Tetouan,3,2,False,Home Win,Egypt,Morocco,North Africa,North Africa,No,10,5,5,3297.1,Arid
2015-07-10,2015,CAF Champions League,Group Stage,USM Alger,Al Merreikh,1,0,False,Home Win,Algeria,Sudan,North Africa,East Africa,Yes,424,380,44,3745.0,Mediterranean
2015-07-11,2015,CAF Champions League,Group Stage,MC El Eulma,ES Setif,0,1,False,Away Win,Algeria,Algeria,North Africa,North Africa,No,960,1096,-136,24.9,Semi-Arid
2015-07-12,2015,CAF Champions League,Group Stage,Al Hilal,Smouha,2,0,False,Home Win,Sudan,Egypt,East Africa,North Africa,Yes,380,10,370,1767.3,Arid
2015-07-12,2015,CAF Champions League,Group Stage,MA Tetouan,TP Mazembe,0,0,False,Draw,Morocco,DR Congo,North Africa,Central Africa,Yes,5,1250,-1245,6285.2,Mediterranean
2015-07-24,2015,CAF Champions League,Group Stage,Smouha,TP Mazembe,0,2,False,Away Win,Egypt,DR Congo,North Africa,Central Africa,Yes,10,1250,-1240,4775.0,Arid
2015-07-24,2015,CAF Champions League,Group Stage,USM Alger,MC El Eulma,2,1,False,Home Win,Algeria,Algeria,North Africa,North Africa,No,424,960,-536,241.3,Mediterranean
2015-07-25,2015,CAF Champions League,Group Stage,ES Setif,Al Merreikh,1,1,False,Draw,Algeria,Sudan,North Africa,East Africa,Yes,1096,380,716,3536.8,Semi-Arid
2015-07-26,2015,CAF Champions League,Group Stage,MA Tetouan,Al Hilal,1,1,False,Draw,Morocco,Sudan,North Africa,East Africa,Yes,5,380,-375,4371.5,Mediterranean
2015-08-07,2015,CAF Champions League,Group Stage,Al Hilal,MA Tetouan,0,1,False,Away Win,Sudan,Morocco,East Africa,North Africa,Yes,380,5,375,4371.5,Arid
2015-08-07,2015,CAF Champions League,Group Stage,MC El Eulma,USM Alger,0,1,False,Away Win,Algeria,Algeria,North Africa,North Africa,No,960,424,536,241.3,Semi-Arid
2015-08-08,2015,CAF Champions League,Group Stage,TP Mazembe,Smouha,1,0,False,Home Win,DR Congo,Egypt,Central Africa,North Africa,Yes,1250,10,1240,4775.0,Tropical
2015-08-09,2015,CAF Champions League,Group Stage,Al Merreikh,ES Setif,2,0,False,Home Win,Sudan,Algeria,East Africa,North Africa,Yes,380,1096,-716,3536.8,Arid
2015-08-21,2015,CAF Champions League,Group Stage,USM Alger,ES Setif,3,0,False,Home Win,Algeria,Algeria,North Africa,North Africa,No,424,1096,-672,216.6,Mediterranean
2015-08-22,2015,CAF Champions League,Group Stage,MC El Eulma,Al Merreikh,2,3,False,Away Win,Algeria,Sudan,North Africa,East Africa,Yes,960,380,580,3514.0,Semi-Arid
2015-08-23,2015,CAF Champions League,Group Stage,Al Hilal,TP Mazembe,1,0,False,Home Win,Sudan,DR Congo,East Africa,Central Africa,Yes,380,1250,-870,3071.6,Arid
2015-08-23,2015,CAF Champions League,Group Stage,MA Tetouan,Smouha,2,1,False,Home Win,Morocco,Egypt,North Africa,North Africa,No,5,10,-5,3297.1,Mediterranean
2015-09-11,2015,CAF Champions League,Group Stage,Al Merreikh,USM Alger,1,0,False,Home Win,Sudan,Algeria,East Africa,North Africa,Yes,380,424,-44,3745.0,Arid
2015-09-11,2015,CAF Champions League,Group Stage,ES Setif,MC El Eulma,2,2,False,Draw,Algeria,Algeria,North Africa,North Africa,No,1096,960,136,24.9,Semi-Arid
2015-09-12,2015,CAF Champions League,Group Stage,Smouha,Al Hilal,1,1,False,Draw,Egypt,Sudan,North Africa,East Africa,Yes,10,380,-370,1767.3,Arid
2015-09-12,2015,CAF Champions League,Group Stage,TP Mazembe,MA Tetouan,5,0,False,Home Win,DR Congo,Morocco,Central Africa,North Africa,Yes,1250,5,1245,6285.2,Tropical
2015-09-26,2015,CAF Champions League,Semi-final,Al Merreikh,TP Mazembe,2,1,False,Home Win,Sudan,DR Congo,East Africa,Central Africa,Yes,380,1250,-870,3071.6,Arid
2015-09-27,2015,CAF Champions League,Semi-final,Al Hilal,USM Alger,1,2,False,Away Win,Sudan,Algeria,East Africa,North Africa,Yes,380,424,-44,3745.0,Arid
2015-10-03,2015,CAF Champions League,Semi-final,USM Alger,Al Hilal,0,0,False,Draw,Algeria,Sudan,North Africa,East Africa,Yes,424,380,44,3745.0,Mediterranean
2015-10-04,2015,CAF Champions League,Semi-final,TP Mazembe,Al Merreikh,3,0,False,Home Win,DR Congo,Sudan,Central Africa,East Africa,Yes,1250,380,870,3071.6,Tropical
2015-10-31,2015,CAF Champions League,Final,USM Alger,TP Mazembe,1,2,False,Away Win,Algeria,DR Congo,North Africa,Central Africa,Yes,424,1250,-826,5956.3,Mediterranean
2015-11-08,2015,CAF Champions League,Final,TP Mazembe,USM Alger,2,0,False,Home Win,DR Congo,Algeria,Central Africa,North Africa,Yes,1250,424,826,5956.3,Tropical
2016-06-18,2016,CAF Champions League,Group Stage,Zesco United,Al Ahly,3,2,False,Home Win,Zambia,Egypt,Southern Africa,North Africa,Yes,1280,23,1257,4777.5,Tropical
2016-06-18,2016,CAF Champions League,Group Stage,ASEC Mimosas,Wydad Casablanca,0,1,False,Away Win,Ivory Coast,Morocco,West Africa,North Africa,Yes,20,56,-36,3160.1,Tropical
2016-06-19,2016,CAF Champions League,Group Stage,Enyimba,Zamalek,0,1,False,Away Win,Nigeria,Egypt,West Africa,North Africa,Yes,55,23,32,3705.0,Tropical
2016-06-28,2016,CAF Champions League,Group Stage,Al Ahly,ASEC Mimosas,1,2,False,Away Win,Egypt,Ivory Coast,North Africa,West Africa,Yes,23,20,3,4602.0,Arid
2016-06-29,2016,CAF Champions League,Group Stage,Wydad Casablanca,Zesco United,2,0,False,Home Win,Morocco,Zambia,North Africa,Southern Africa,Yes,56,1280,-1224,6400.5,Mediterranean
2016-06-29,2016,CAF Champions League,Group Stage,Mamelodi Sundowns,Enyimba,2,1,False,Home Win,South Africa,Nigeria,Southern Africa,West Africa,Yes,1340,55,1285,4063.4,Semi-Arid
2016-07-16,2016,CAF Champions League,Group Stage,Zesco United,ASEC Mimosas,3,1,False,Home Win,Zambia,Ivory Coast,Southern Africa,West Africa,Yes,1280,20,1260,4092.9,Tropical
2016-07-16,2016,CAF Champions League,Group Stage,Al Ahly,Wydad Casablanca,0,0,False,Draw,Egypt,Morocco,North Africa,North Africa,No,23,56,-33,3669.2,Arid
2016-07-17,2016,CAF Champions League,Group Stage,Zamalek,Mamelodi Sundowns,1,2,False,Away Win,Egypt,South Africa,North Africa,Southern Africa,Yes,23,1340,-1317,6214.2,Arid
2016-07-27,2016,CAF Champions League,Group Stage,ASEC Mimosas,Zesco United,1,1,False,Draw,Ivory Coast,Zambia,West Africa,Southern Africa,Yes,20,1280,-1260,4092.9,Tropical
2016-07-27,2016,CAF Champions League,Group Stage,Wydad Casablanca,Al Ahly,0,1,False,Away Win,Morocco,Egypt,North Africa,North Africa,No,56,23,33,3669.2,Mediterranean
2016-07-27,2016,CAF Champions League,Group Stage,Mamelodi Sundowns,Zamalek,1,0,False,Home Win,South Africa,Egypt,Southern Africa,North Africa,Yes,1340,23,1317,6214.2,Semi-Arid
2016-08-12,2016,CAF Champions League,Group Stage,Al Ahly,Zesco United,2,2,False,Draw,Egypt,Zambia,North Africa,Southern Africa,Yes,23,1280,-1257,4777.5,Arid
2016-08-14,2016,CAF Champions League,Group Stage,Wydad Casablanca,ASEC Mimosas,2,1,False,Home Win,Morocco,Ivory Coast,North Africa,West Africa,Yes,56,20,36,3160.1,Mediterranean
2016-08-15,2016,CAF Champions League,Group Stage,Zamalek,Enyimba,1,0,False,Home Win,Egypt,Nigeria,North Africa,West Africa,Yes,23,55,-32,3705.0,Arid
2016-08-23,2016,CAF Champions League,Group Stage,Enyimba,Mamelodi Sundowns,3,1,False,Home Win,Nigeria,South Africa,West Africa,Southern Africa,Yes,55,1340,-1285,4063.4,Tropical
2016-08-24,2016,CAF Champions League,Group Stage,ASEC Mimosas,Al Ahly,0,0,False,Draw,Ivory Coast,Egypt,West Africa,North Africa,Yes,20,23,-3,4602.0,Tropical
2016-08-24,2016,CAF Champions League,Group Stage,Zesco United,Wydad Casablanca,1,1,False,Draw,Zambia,Morocco,Southern Africa,North Africa,Yes,1280,56,1224,6400.5,Tropical
2016-09-16,2016,CAF Champions League,Semi-final,Zamalek,Wydad Casablanca,4,0,False,Home Win,Egypt,Morocco,North Africa,North Africa,No,23,56,-33,3669.2,Arid
2016-09-17,2016,CAF Champions League,Semi-final,Zesco United,Mamelodi Sundowns,2,1,False,Home Win,Zambia,South Africa,Southern Africa,Southern Africa,No,1280,1340,-60,1439.5,Tropical
2016-09-24,2016,CAF Champions League,Semi-final,Wydad Casablanca,Zamalek,5,2,False,Home Win,Morocco,Egypt,North Africa,North Africa,No,56,23,33,3669.2,Mediterranean
2016-09-24,2016,CAF Champions League,Semi-final,Mamelodi Sundowns,Zesco United,2,0,False,Home Win,South Africa,Zambia,Southern Africa,Southern Africa,No,1340,1280,60,1439.5,Semi-Arid
2016-10-15,2016,CAF Champions League,Final,Mamelodi Sundowns,Zamalek,3,0,False,Home Win,South Africa,Egypt,Southern Africa,North Africa,Yes,1340,23,1317,6214.2,Semi-Arid
2016-10-23,2016,CAF Champions League,Final,Zamalek,Mamelodi Sundowns,1,0,False,Home Win,Egypt,South Africa,North Africa,Southern Africa,Yes,23,1340,-1317,6214.2,Arid
2017-01-14,2017,African Cup of Nations,Group Stage,Gabon,Guinea-Bissau,1,1,False,Draw,Gabon,Guinea-Bissau,Central Africa,West Africa,Yes,30,20,10,,Tropical
2017-01-18,2017,African Cup of Nations,Group Stage,Gabon,Burkina Faso,1,1,False,Draw,Gabon,Burkina Faso,Central Africa,West Africa,Yes,30,310,-280,,Tropical
2017-01-22,2017,African Cup of Nations,Group Stage,Gabon,Cameroon,0,0,False,Draw,Gabon,Cameroon,Central Africa,Central Africa,No,30,750,-720,,Tropical
2017-05-12,2017,CAF Champions League,Group Stage,Etoile du Sahel,Ferroviario Beira,5,0,False,Home Win,Tunisia,Mozambique,North Africa,Southern Africa,Yes,20,10,10,6694.2,Mediterranean
2017-05-12,2017,CAF Champions League,Group Stage,Al Hilal,Al Merreikh,1,1,False,Draw,Sudan,Sudan,East Africa,East Africa,No,380,380,0,0.0,Arid
2017-05-12,2017,CAF Champions League,Group Stage,USM Alger,Al Ahly,3,0,False,Home Win,Algeria,Egypt,North Africa,North Africa,No,424,23,401,2706.6,Mediterranean
2017-05-12,2017,CAF Champions League,Group Stage,Zamalek,CAPS United,2,0,False,Home Win,Egypt,Zimbabwe,North Africa,Southern Africa,Yes,23,1490,-1467,5325.4,Arid
2017-05-12,2017,CAF Champions League,Group Stage,Esperance de Tunis,AS Vita Club,3,1,False,Home Win,Tunisia,DR Congo,North Africa,Central Africa,Yes,10,320,-310,4605.4,Mediterranean
2017-05-12,2017,CAF Champions League,Group Stage,Wydad Casablanca,Cotonsport,2,0,False,Home Win,Morocco,Cameroon,North Africa,Central Africa,Yes,56,358,-302,3507.7,Mediterranean
2017-05-13,2017,CAF Champions League,Group Stage,Mamelodi Sundowns,Saint George,0,0,False,Draw,South Africa,Ethiopia,Southern Africa,East Africa,Yes,1340,2355,-1015,4028.9,Semi-Arid
2017-05-13,2017,CAF Champions League,Group Stage,Al Ahly,Zanaco,0,0,False,Draw,Egypt,Zambia,North Africa,Southern Africa,Yes,23,1279,-1256,5067.0,Arid
2017-05-23,2017,CAF Champions League,Group Stage,Ferroviario Beira,Al Hilal,0,0,False,Draw,Mozambique,Sudan,Southern Africa,East Africa,Yes,10,380,-370,3938.0,Tropical
2017-05-23,2017,CAF Champions League,Group Stage,Al Merreikh,Etoile du Sahel,1,2,False,Away Win,Sudan,Tunisia,East Africa,North Africa,Yes,380,20,360,3136.6,Arid
2017-05-23,2017,CAF Champions League,Group Stage,Al Ahly,Zamalek,0,0,False,Draw,Egypt,Egypt,North Africa,North Africa,No,23,23,0,0.0,Arid
2017-05-23,2017,CAF Champions League,Group Stage,Saint George,Esperance de Tunis,0,0,False,Draw,Ethiopia,Tunisia,East Africa,North Africa,Yes,2355,10,2345,4223.4,Tropical Highland
2017-05-23,2017,CAF Champions League,Group Stage,Cotonsport,Al Ahly,0,2,False,Away Win,Cameroon,Egypt,Central Africa,North Africa,Yes,358,23,335,2902.2,Tropical
2017-05-24,2017,CAF Champions League,Group Stage,CAPS United,USM Alger,2,1,False,Home Win,Zimbabwe,Algeria,Southern Africa,North Africa,Yes,1490,424,1066,6740.1,Tropical
2017-05-24,2017,CAF Champions League,Group Stage,AS Vita Club,Mamelodi Sundowns,1,3,False,Away Win,DR Congo,South Africa,Central Africa,Southern Africa,Yes,320,1340,-1020,2750.3,Tropical
2017-05-24,2017,CAF Champions League,Group Stage,Zanaco,Wydad Casablanca,1,0,False,Home Win,Zambia,Morocco,Southern Africa,North Africa,Yes,1279,56,1223,6643.4,Tropical
2017-06-02,2017,CAF Champions League,Group Stage,CAPS United,Al Ahly,2,4,False,Away Win,Zimbabwe,Egypt,Southern Africa,North Africa,Yes,1490,23,1467,5325.4,Tropical
2017-06-02,2017,CAF Champions League,Group Stage,Zamalek,USM Alger,1,1,False,Draw,Egypt,Algeria,North Africa,North Africa,No,23,424,-401,2706.6,Arid
2017-06-02,2017,CAF Champions League,Group Stage,Mamelodi Sundowns,Esperance de Tunis,1,2,False,Away Win,South Africa,Tunisia,Southern Africa,North Africa,Yes,1340,10,1330,7207.9,Semi-Arid
2017-06-03,2017,CAF Champions League,Group Stage,Ferroviario Beira,Al Merreikh,1,0,False,Home Win,Mozambique,Sudan,Southern Africa,East Africa,Yes,10,380,-370,3938.0,Tropical
2017-06-03,2017,CAF Champions League,Group Stage,Etoile du Sahel,Al Hilal,1,1,False,Draw,Tunisia,Sudan,North Africa,East Africa,Yes,20,380,-360,3136.6,Mediterranean
2017-06-03,2017,CAF Champions League,Group Stage,Zanaco,Cotonsport,2,1,False,Home Win,Zambia,Cameroon,Southern Africa,Central Africa,Yes,1279,358,921,3149.7,Tropical
2017-06-04,2017,CAF Champions League,Group Stage,Saint George,AS Vita Club,1,0,False,Home Win,Ethiopia,DR Congo,East Africa,Central Africa,Yes,2355,320,2035,2991.9,Tropical Highland
2017-06-04,2017,CAF Champions League,Group Stage,Al Ahly,Wydad Casablanca,2,0,False,Home Win,Egypt,Morocco,North Africa,North Africa,No,23,56,-33,3669.2,Arid
2017-06-20,2017,CAF Champions League,Group Stage,Al Merreikh,Ferroviario Beira,2,1,False,Home Win,Sudan,Mozambique,East Africa,Southern Africa,Yes,380,10,370,3938.0,Arid
2017-06-20,2017,CAF Champions League,Group Stage,AS Vita Club,Saint George,2,1,False,Home Win,DR Congo,Ethiopia,Central Africa,East Africa,Yes,320,2355,-2035,2991.9,Tropical
2017-06-20,2017,CAF Champions League,Group Stage,Wydad Casablanca,Al Ahly,2,0,False,Home Win,Morocco,Egypt,North Africa,North Africa,No,56,23,33,3669.2,Mediterranean
2017-06-21,2017,CAF Champions League,Group Stage,Al Hilal,Etoile du Sahel,1,1,False,Draw,Sudan,Tunisia,East Africa,North Africa,Yes,380,20,360,3136.6,Arid
2017-06-21,2017,CAF Champions League,Group Stage,Al Ahly,CAPS United,4,2,False,Home Win,Egypt,Zimbabwe,North Africa,Southern Africa,Yes,23,1490,-1467,5325.4,Arid
2017-06-21,2017,CAF Champions League,Group Stage,USM Alger,Zamalek,2,0,False,Home Win,Algeria,Egypt,North Africa,North Africa,No,424,23,401,2706.6,Mediterranean
2017-06-21,2017,CAF Champions League,Group Stage,Esperance de Tunis,Mamelodi Sundowns,0,0,False,Draw,Tunisia,South Africa,North Africa,Southern Africa,Yes,10,1340,-1330,7207.9,Mediterranean
2017-06-21,2017,CAF Champions League,Group Stage,Cotonsport,Zanaco,0,1,False,Away Win,Cameroon,Zambia,Central Africa,Southern Africa,Yes,358,1279,-921,3149.7,Tropical
2017-06-30,2017,CAF Champions League,Group Stage,Al Merreikh,Al Hilal,2,1,False,Home Win,Sudan,Sudan,East Africa,East Africa,No,380,380,0,0.0,Arid
2017-06-30,2017,CAF Champions League,Group Stage,Al Ahly,USM Alger,1,1,False,Draw,Egypt,Algeria,North Africa,North Africa,No,23,424,-401,2706.6,Arid
2017-07-01,2017,CAF Champions League,Group Stage,Ferroviario Beira,Etoile du Sahel,1,1,False,Draw,Mozambique,Tunisia,Southern Africa,North Africa,Yes,10,20,-10,6694.2,Tropical
2017-07-01,2017,CAF Champions League,Group Stage,Saint George,Mamelodi Sundowns,0,1,False,Away Win,Ethiopia,South Africa,East Africa,Southern Africa,Yes,2355,1340,1015,4028.9,Tropical Highland
2017-07-01,2017,CAF Champions League,Group Stage,AS Vita Club,Esperance de Tunis,2,2,False,Draw,DR Congo,Tunisia,Central Africa,North Africa,Yes,320,10,310,4605.4,Tropical
2017-07-01,2017,CAF Champions League,Group Stage,Zanaco,Al Ahly,0,0,False,Draw,Zambia,Egypt,Southern Africa,North Africa,Yes,1279,23,1256,5067.0,Tropical
2017-07-01,2017,CAF Champions League,Group Stage,Cotonsport,Wydad Casablanca,0,2,False,Away Win,Cameroon,Morocco,Central Africa,North Africa,Yes,358,56,302,3507.7,Tropical
2017-07-02,2017,CAF Champions League,Group Stage,CAPS United,Zamalek,3,1,False,Home Win,Zimbabwe,Egypt,Southern Africa,North Africa,Yes,1490,23,1467,5325.4,Tropical
2017-07-07,2017,CAF Champions League,Group Stage,Al Hilal,Ferroviario Beira,0,3,False,Away Win,Sudan,Mozambique,East Africa,Southern Africa,Yes,380,10,370,3938.0,Arid
2017-07-07,2017,CAF Champions League,Group Stage,Etoile du Sahel,Al Merreikh,3,0,False,Home Win,Tunisia,Sudan,North Africa,East Africa,Yes,20,380,-360,3136.6,Mediterranean
2017-07-08,2017,CAF Champions League,Group Stage,Al Ahly,Cotonsport,3,1,False,Home Win,Egypt,Cameroon,North Africa,Central Africa,Yes,23,358,-335,2902.2,Arid
2017-07-08,2017,CAF Champions League,Group Stage,Wydad Casablanca,Zanaco,1,0,False,Home Win,Morocco,Zambia,North Africa,Southern Africa,Yes,56,1279,-1223,6643.4,Mediterranean
2017-07-09,2017,CAF Champions League,Group Stage,USM Alger,CAPS United,4,1,False,Home Win,Algeria,Zimbabwe,North Africa,Southern Africa,Yes,424,1490,-1066,6740.1,Mediterranean
2017-07-09,2017,CAF Champions League,Group Stage,Zamalek,Al Ahly,2,2,False,Draw,Egypt,Egypt,North Africa,North Africa,No,23,23,0,0.0,Arid
2017-07-09,2017,CAF Champions League,Group Stage,Esperance de Tunis,Saint George,4,0,False,Home Win,Tunisia,Ethiopia,North Africa,East Africa,Yes,10,2355,-2345,4223.4,Mediterranean
2017-07-09,2017,CAF Champions League,Group Stage,Mamelodi Sundowns,AS Vita Club,1,1,False,Draw,South Africa,DR Congo,Southern Africa,Central Africa,Yes,1340,320,1020,2750.3,Semi-Arid
2017-09-16,2017,CAF Champions League,Quarter-final,Ferroviario Beira,USM Alger,1,1,False,Draw,Mozambique,Algeria,Southern Africa,North Africa,Yes,10,424,-414,7119.5,Tropical
2017-09-16,2017,CAF Champions League,Quarter-final,Al Ahly,Esperance de Tunis,2,2,False,Draw,Egypt,Tunisia,North Africa,North Africa,No,23,10,13,2088.3,Arid
2017-09-17,2017,CAF Champions League,Quarter-final,Mamelodi Sundowns,Wydad Casablanca,1,0,False,Home Win,South Africa,Morocco,Southern Africa,North Africa,Yes,1340,56,1284,7604.6,Semi-Arid
2017-09-17,2017,CAF Champions League,Quarter-final,Al Ahly Tripoli,Etoile du Sahel,0,0,False,Draw,Libya,Tunisia,North Africa,North Africa,No,47,20,27,400.2,Arid
2017-09-23,2017,CAF Champions League,Quarter-final,USM Alger,Ferroviario Beira,0,0,False,Draw,Algeria,Mozambique,North Africa,Southern Africa,Yes,424,10,414,7119.5,Mediterranean
2017-09-23,2017,CAF Champions League,Quarter-final,Esperance de Tunis,Al Ahly,1,2,False,Away Win,Tunisia,Egypt,North Africa,North Africa,No,10,23,-13,2088.3,Mediterranean
2017-09-24,2017,CAF Champions League,Quarter-final,Wydad Casablanca,Mamelodi Sundowns,1,0,False,Home Win,Morocco,South Africa,North Africa,Southern Africa,Yes,56,1340,-1284,7604.6,Mediterranean
2017-09-24,2017,CAF Champions League,Quarter-final,Etoile du Sahel,Al Ahly Tripoli,2,0,False,Home Win,Tunisia,Libya,North Africa,North Africa,No,20,47,-27,400.2,Mediterranean
2017-09-29,2017,CAF Champions League,Semi-final,USM Alger,Wydad Casablanca,0,0,False,Draw,Algeria,Morocco,North Africa,North Africa,No,424,56,368,1031.7,Mediterranean
2017-10-01,2017,CAF Champions League,Semi-final,Etoile du Sahel,Al Ahly,2,1,False,Home Win,Tunisia,Egypt,North Africa,North Africa,No,20,23,-3,2022.9,Mediterranean
2017-10-21,2017,CAF Champions League,Semi-final,Wydad Casablanca,USM Alger,3,1,False,Home Win,Morocco,Algeria,North Africa,North Africa,No,56,424,-368,1031.7,Mediterranean
2017-10-22,2017,CAF Champions League,Semi-final,Al Ahly,Etoile du Sahel,6,2,False,Home Win,Egypt,Tunisia,North Africa,North Africa,No,23,20,3,2022.9,Arid
2017-10-28,2017,CAF Champions League,Final,Al Ahly,Wydad Casablanca,1,1,False,Draw,Egypt,Morocco,North Africa,North Africa,No,23,56,-33,3669.2,Arid
2017-11-04,2017,CAF Champions League,Final,Wydad Casablanca,Al Ahly,1,0,False,Home Win,Morocco,Egypt,North Africa,North Africa,No,56,23,33,3669.2,Mediterranean
2018-05-04,2018,CAF Champions League,Group Stage,Al Ahly,Esperance de Tunis,0,0,False,Draw,Egypt,Tunisia,North Africa,North Africa,No,23,10,13,2088.3,Arid
2018-05-04,2018,CAF Champions League,Group Stage,Township Rollers,KCCA,1,0,False,Home Win,Botswana,Uganda,Southern Africa,East Africa,Yes,1010,1200,-190,2871.5,Semi-Arid
2018-05-04,2018,CAF Champions League,Group Stage,MC Alger,DH El Jadida,1,1,False,Draw,Algeria,Morocco,North Africa,North Africa,No,424,35,389,1124.4,Mediterranean
2018-05-05,2018,CAF Champions League,Group Stage,TP Mazembe,ES Setif,4,1,False,Home Win,DR Congo,Algeria,Central Africa,North Africa,Yes,1250,1096,154,5802.4,Tropical
2018-05-05,2018,CAF Champions League,Group Stage,Togo-Port,Horoya AC,1,2,False,Away Win,Togo,Guinea,West Africa,West Africa,No,10,30,-20,1674.7,Tropical
2018-05-05,2018,CAF Champions League,Group Stage,Mamelodi Sundowns,Wydad Casablanca,1,1,False,Draw,South Africa,Morocco,Southern Africa,North Africa,Yes,1340,56,1284,7604.6,Semi-Arid
2018-05-05,2018,CAF Champions League,Group Stage,Zesco United,Mbabane Swallows,1,1,False,Draw,Zambia,Eswatini,Southern Africa,Southern Africa,No,1280,1160,120,1532.2,Tropical
2018-05-05,2018,CAF Champions League,Group Stage,Primeiro de Agosto,Etoile du Sahel,1,1,False,Draw,Angola,Tunisia,Southern Africa,North Africa,Yes,60,20,40,4973.6,Tropical
2018-05-15,2018,CAF Champions League,Group Stage,KCCA,Al Ahly,2,0,False,Home Win,Uganda,Egypt,East Africa,North Africa,Yes,1200,23,1177,3307.2,Tropical
2018-05-15,2018,CAF Champions League,Group Stage,Esperance de Tunis,Township Rollers,4,1,False,Home Win,Tunisia,Botswana,North Africa,Southern Africa,Yes,10,1010,-1000,7030.1,Mediterranean
2018-05-15,2018,CAF Champions League,Group Stage,DH El Jadida,TP Mazembe,0,2,False,Away Win,Morocco,DR Congo,North Africa,Central Africa,Yes,35,1250,-1215,6280.9,Mediterranean
